"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"abu-8",4.72716181580663,-2.75980829612233,2.14526535824888,0.000673600934048069,0.0184390577873462
"acn-1",116.73088285221,-1.03929162113894,0.195271669832676,2.61746217427962e-06,0.000119659209855646
"adt-1",9.74768150412742,-2.60925581098644,1.10361409165067,0.000136409798866571,0.00435640655529199
"alh-9",557.891533443135,-0.679110735649767,0.115152761487343,0.000105485936989661,0.00345456854010506
"aly-1",125.119763032568,1.20664105834335,0.186937877012522,2.43124904634448e-08,1.48951217084206e-06
"amt-1",16.4607819503678,1.35352462830651,0.635588965608238,0.000416073184049171,0.012126715519569
"atl-1",97.5289760464655,1.0176026673744,0.224435436861616,2.13336073980328e-05,0.000861571606397684
"baf-1",195.596117418381,0.683255136726965,0.15716629636547,0.0010369998383717,0.0268368406447574
"cah-4",508.429425782023,-0.713742738580726,0.113604117274567,2.47789423326007e-05,0.00097025719411914
"cyp-14A5",123.66042784146,1.66341137485106,0.207536963949149,7.70221658194469e-13,9.63418924124914e-11
"cdh-7",20.3218398296523,-6.19409607757715,1.18823619690246,7.28503039237692e-08,4.10056148210916e-06
"cdh-10",19.5490546303718,-3.68271077547084,0.610330316719532,8.09249687473508e-09,5.60623283491262e-07
"chs-2",9.61876253885117,-1.83723098270573,1.08713646234821,0.000476268761877349,0.0136601161448006
"ckb-2",28.8859828187598,-1.0393310440637,0.416172226938083,0.000661467688449286,0.0181621280554094
"col-14",36.2551978248469,-4.60688547502325,0.561165875326048,4.90264116001902e-15,9.19858047648568e-13
"col-17",69.4480995521516,-7.90355184246231,1.16778344708563,2.81208323429882e-12,3.12661995161669e-10
"col-41",77.9142648901398,-7.35124105800967,1.0265433220526,3.80145121195286e-13,5.18725297194658e-11
"col-48",6.99547430845292,-4.36517755746455,1.6788507201525,7.28648980498384e-05,0.00250466134288872
"col-73",42.8505541949394,-5.66531842244407,0.856946978527883,6.21631824379513e-11,6.01980237673322e-09
"col-90",83.119785997294,-7.38892430817199,1.07439652112497,2.33942187399205e-12,2.66694093635093e-10
"col-93",18.0448774123748,-1.92689830666748,0.644432464581116,5.17109130355685e-05,0.00185244930039991
"col-97",18.2356540473677,-3.21246349169793,0.566846817862025,4.97905373212625e-08,2.8561374465942e-06
"col-104",17.1096514935782,-4.42671126694958,0.785629647146898,3.49424962568972e-08,2.07130530962008e-06
"col-109",12.2438918439547,-4.69501940555048,1.15069669695188,6.59711797837928e-06,0.000287022437262241
"col-111",4.60254507327708,-4.70287497666921,1.71122399963809,5.43893590076111e-05,0.00192846680008876
"col-125",39.3880661771829,-2.96794810750298,0.368821356761057,1.50661507854432e-13,2.26142923289502e-11
"col-149",44.2248421091853,-4.09560246906654,0.448142973044865,9.60253365151726e-18,2.21744661706576e-15
"col-173",9.78210256235419,-6.09598082153886,1.21585986895012,1.87955577653027e-07,9.61777234285885e-06
"col-180",12.566988985151,-3.11941400430623,0.745564778700122,5.94784652804251e-06,0.000260030610832771
