"","Aux_rep1_ribo","Aux_rep2_ribo","Aux_rep3_ribo","noAux_rep1_ribo","noAux_rep2_ribo","noAux_rep3_ribo"
"aap-1",53.3223679812923,58.8102152114259,57.1719161786573,56.0795990769631,54.6142053521327,33.850071897428
"aat-1",53.3223679812923,64.2556055087801,61.4068729326319,50.2782612414152,40.9606540140996,51.2325412501614
"aat-2",55.1299058789632,78.4136202819012,83.6403958909986,56.0795990769631,63.0163907909224,58.5514757144701
"aat-3",122.912577041623,140.49106967174,145.047268823631,144.06655624944,144.937698819121,133.570553973635
"aat-5",169.908562381067,161.183552801686,159.869617462542,207.881272440467,190.099445552616,169.25035948714
"aat-6",58.7449816743051,42.4740443193631,55.05443780167,53.1789301591892,63.0163907909224,47.573074018007
"aat-9",72.301515906837,64.2556055087801,76.2292215715431,55.1127094377051,68.2677566901659,59.4663425225087
"abf-5",56.0336748277987,72.9682299845469,61.4068729326319,83.1525089761867,51.4633858125866,59.4663425225087
"abf-6",136.469111274155,140.49106967174,137.636094504175,172.106355787921,150.189064718365,131.740820357558
"abl-1",46.0922163906086,58.8102152114259,39.1733499742652,50.2782612414152,60.915844431225,51.2325412501614
"abt-2",56.9374437766342,87.1262447576679,96.3452661529225,79.2849504191547,95.5748593662323,77.7636786832806
"abt-4",245.825154083246,278.803983224537,291.153276835755,194.344817490855,207.954089610044,230.546435625726
"abu-8",0.903768948835463,0,0,11.6026756710958,9.45245861863836,6.40406765627017
"ace-1",46.9959853394441,62.0774493898384,45.5257851052271,45.4438130451253,64.0666639707711,43.9136067858526
"ace-2",47.8997542882795,37.0286540220089,37.0558715972779,45.4438130451253,50.4131126327379,42.998739977814
"ace-3",92.1844327812172,95.8388692334347,104.815179660872,67.6822747480589,73.5191225894094,68.6150106028947
"ace-4",12.6527652836965,18.5143270110044,13.7636094504175,14.5033445888698,15.7540976977306,20.1270697768491
"acn-1",65.9751332649888,75.1463861034886,77.2879607600367,162.437459395341,172.244801495188,147.293556094214
"aco-1",807.065671310068,708.989816715523,798.289348124215,715.498333050909,791.905977605925,884.676203373322
"aco-2",2674.25231960413,2841.40465715945,2820.48119814709,3038.93413618785,3030.03812386352,2873.59664404923
"acr-8",28.9206063627348,32.6723417841255,33.8796540317969,12.5695653103538,21.0054635969741,21.9568033929263
"acr-12",21.6904547720511,19.6034050704753,22.2335229583667,18.3709031459017,14.7038245178819,15.5527357366561
"acr-19",18.0753789767093,9.80170253523765,19.0573053928858,20.3046824244177,19.9551904171254,20.1270697768491
"lgc-11",21.6904547720511,17.4252489515336,15.8810878274048,9.66889639257985,16.8043708775793,17.3824693527333
"acr-23",23.497992669722,31.5832637246546,22.2335229583667,12.5695653103538,22.0557367768228,18.2973361607719
"act-1",0,0,0,0,0,0
"act-2",516.955838733885,397.51349170686,433.024328093904,704.862547019071,723.638220915759,681.575771988754
"act-3",0,0,0,0,0,0
"act-4",4003.6964433411,4062.26116182627,4266.71892962942,3947.81039709035,3916.46868765583,3941.24620903027
