"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"col-17",47.6789064095648,-8.59893342175696,1.17129925008762,1.15403507337675e-13,1.99578825589775e-10
"col-73",22.3423792849915,-5.41921098028021,0.92413611582824,8.0394566087682e-09,4.96551294971562e-06
"col-90",18.5167023783282,-7.28680015540829,1.22275526973951,1.53492017268999e-09,1.20658679393185e-06
"col-125",15.5215580757022,-2.7296886069165,0.850835206381954,2.4252005963872e-05,0.00511480720901466
"col-180",5.55568220198117,-5.23737979438685,1.84644432567901,2.31789717018502e-05,0.00501071420764746
"dao-2",9.44545841328187,-4.1927962098795,1.7530685720584,4.98471281528535e-05,0.00897975244036926
"dpy-4",18.3181556496028,-5.6142790348781,1.09321923908447,2.25829518392721e-07,8.8761265706448e-05
"dpy-5",17.5228400790302,-7.19519040924848,1.24440801288708,4.28317416184418e-09,2.84896976749744e-06
"dpy-6",70.1265859581407,-1.09270950884958,0.325282160856301,5.13613626682404e-05,0.00906370822433213
"dpy-7",6.28508862392298,-5.5872698562858,1.60994354061508,9.69234581125332e-06,0.00232804761749743
"dpy-8",19.2306081503183,-6.43615681190502,1.21051607368625,6.81044968759482e-08,3.27166435825736e-05
"dpy-10",5.29401261241745,-5.01224530121265,2.02748452589565,3.71609880149665e-05,0.00747281542710269
"dpy-13",24.7254369597238,-6.77113911435523,1.22778256708445,2.19320706078662e-08,1.11556832086011e-05
"fkb-5",17.4666807959113,-2.10004315927593,0.925749636010762,8.48863509879024e-05,0.0143923975880861
"grl-7",4.6109126331856,-4.27129602814402,2.41485106181413,0.000100395666508369,0.0166946409288051
"grl-16",14.9808330903224,-4.83739109696843,1.02023124858944,1.18285242406757e-06,0.000372943061633113
"gst-24",105.794724836893,3.29354320994792,0.280481096545737,1.12802504765587e-26,9.75403258708028e-23
"mrp-2",86.919161173814,1.25939145512565,0.326268542319386,5.11101105259286e-06,0.00129985036975795
"pgp-1",33.8745845727076,1.26994432409851,0.7744212571815,0.000325573831389505,0.0446863003178579
"pgp-8",23.7964718018696,5.70472820155801,1.05950211634505,7.39736708108635e-08,3.36658069211335e-05
"pqn-32",8.90191813566465,-3.34053437510348,1.76919882219922,0.000107770026691664,0.0175547548682107
"abu-14",13.2210490248137,-5.88148333537611,1.31358173967778,1.56630413369535e-06,0.000462275985169994
"ptr-4",13.6597375256195,-4.65252079199652,1.00031964785136,1.60382555280442e-06,0.000462275985169994
"rol-8",25.1117158834096,-6.81036823618995,1.20235101377997,1.00183519273332e-08,5.77524594104337e-06
"sqt-1",22.6899538506,-7.55825712509919,1.22293062815098,3.69079361100796e-10,3.98928654429823e-07
"sqt-2",9.73668685228458,-6.3499932562854,1.32476540335135,5.44537685959234e-07,0.00018834469481958
"sqt-3",28.9116388396321,-7.00545306353432,1.19512276161176,3.1154745671232e-09,2.24495904849286e-06
"sym-1",30.6011165325098,-4.11515556801612,0.550041342378221,1.71314520001409e-12,2.4689277574203e-09
"wrt-2",8.27384415882389,-6.11159258320436,1.3440154804692,1.20763336714782e-06,0.000372943061633113
"C09F9.2",24.8517425468378,-2.78421820452006,0.581747138820013,1.67869568129831e-06,0.000468247792135047
"C29F7.2",47.1446378372666,1.75250282995992,0.431057115742762,2.29275975047205e-06,0.000619546673822869
"C34F6.1",4.14120782384042,-3.40878173693286,2.65455024823098,0.000231630319943467,0.0328345471565763
"F10D11.6",10.9244215620086,-2.3627008577846,1.48356119158603,0.000193475815363296,0.0278830895907737
"acs-2",32.7028200522731,-1.38836353202171,0.599399024069095,0.000109628398621878,0.0175547548682107
"gadr-6",8.50174853376462,4.21698578530506,2.13030189338851,7.96996451688961e-05,0.0137832566355089
"noah-2",44.5484418228833,-3.44759310126002,0.413132794958093,1.39026624893117e-14,3.00540806362696e-11
"cut-2",46.8005409780928,-5.84554786870951,0.711902362765533,1.7887358335632e-15,5.15573291760699e-12
"K10D3.4",23.2749834673281,-2.5358430426062,0.578335407149327,3.59368549952919e-06,0.000941654500437239
"T06D8.10",4.30862790633354,-3.79330114386528,2.56471875509756,0.000162047546326245,0.0237495785268312
"T19B10.2",23.3231122980755,-1.51164611450161,0.977710706482428,0.000286435358324956,0.0399484926360628
"T26C5.2",5.17268634715463,-4.86037150910313,2.1236977045103,4.75036760722479e-05,0.00873966568078144
"mlt-11",69.3461874788108,-6.69609748609822,0.760336593499014,8.21572613576734e-18,3.55206919479901e-14
"lpr-3",10.1405490132795,-6.4353684987784,1.27240966812253,2.05471870423484e-07,8.46054887405649e-05
"psme-3",70.381707328946,1.27719564085527,0.391330681868447,2.20388746157502e-05,0.00488641407185621
"ugt-16",17.5645107843822,2.70667306332955,0.816435159825397,2.10979639811538e-05,0.00480089722486939
"ZK1025.3",5.16514579460268,-4.88630889014733,2.10979889246039,4.57545440305989e-05,0.00860085961375194
"C02E7.6",4.32795148649417,-3.97040001571568,2.51048815900791,0.000136116585268358,0.0206491247862366
"mlt-10",10.7476493663382,-3.35740893600404,1.22139411013549,3.90305180648905e-05,0.00764426774379284
"noah-1",25.9831471506642,-3.72087373126434,0.578631262159881,1.4434689525995e-09,1.20658679393185e-06
"asp-12",17.8906732582092,-4.41322396055469,0.806930315672354,1.04486434860019e-07,4.51747101117293e-05
"F30H5.3",18.3231425783049,-7.27552093344552,1.21023297253585,1.15300711657237e-09,1.10778361522236e-06
"F41F3.3",59.1383421185672,-3.95222807288093,2.65009251628173,0.000152275352114465,0.0227021546505824
"lin-42",29.8425517803408,-2.85510989694645,0.465179411878629,1.50898032989863e-08,8.15509557039592e-06
"bus-5",6.0484339199415,-5.35612496605103,1.83715774975431,2.04635522293155e-05,0.00478238746288894
"glf-1",4.50312474701889,-4.12981207488351,2.46459974851952,0.000116409605737776,0.0183017065602646
"H42K12.3",5.67876381873143,-5.20106384266624,1.91325479610558,2.67710116243467e-05,0.00551164136942204
"mlt-8",9.43243414846544,-6.330830906215,1.29268678684103,3.89624281041108e-07,0.000140378381590102
"Y47D7A.13",17.5787927251829,-3.54530346404984,0.692274012765395,6.20223693789548e-07,0.000206272087699932
"cdh-12",14.5603216068432,-2.18151503562111,1.14483660007976,0.000133924857095779,0.0206491247862366
"ZK180.5",18.6328290894092,-5.63805436407538,1.10798173723436,2.68289654841939e-07,0.000100865245452967
"ZK180.6",6.67386967981403,-5.71989673959987,1.53989161363303,6.63975663216719e-06,0.00164039930280999
"fbn-1",29.5746345577469,-3.7163598626533,0.514568874768651,1.45323567220756e-11,1.7951612653684e-08
"cth-2",142.670387836425,0.909759679328155,0.304041648593861,0.000364655003706026,0.0492683096413439
"K02E11.10",5.24885583584924,-4.9687137112777,2.05181397640573,3.97816639841191e-05,0.00764426774379284
