"WB_ID","ENTREZ_ID"
"WBGene00000031","178904"
"WBGene00000039","180780"
"WBGene00000082","181412"
"WBGene00000115","175820"
"WBGene00000120","177735"
"WBGene00000133","180729"
"WBGene00000226","179352"
"WBGene00000235","176330"
"WBGene00000282","181478"
"WBGene00000373","178926"
"WBGene00000399","175143"
"WBGene00000402","183476"
"WBGene00000497","173405"
"WBGene00000512","175565"
"WBGene00000603","177559"
"WBGene00000606","173839"
"WBGene00000618","181610"
"WBGene00000625","171873"
"WBGene00000649","184366"
"WBGene00000665","176117"
"WBGene00000668","259335"
"WBGene00000672","176721"
"WBGene00000678","176947"
"WBGene00000683","176988"
"WBGene00000685","177230"
"WBGene00000699","178029"
"WBGene00000722","179431"
"WBGene00000746","180960"
"WBGene00000753","181356"
"WBGene00000788","171829"
"WBGene00000915","179971"
"WBGene00000928","173793"
"WBGene00000992","181027"
"WBGene00001001","177875"
"WBGene00001059","176132"
"WBGene00001064","174107"
"WBGene00001065","180529"
"WBGene00001066","178414"
"WBGene00001067","172197"
"WBGene00001068","181099"
"WBGene00001069","181013"
"WBGene00001070","180785"
"WBGene00001071","176846"
"WBGene00001072","36805042"
"WBGene00001073","179040"
"WBGene00001074","177187"
"WBGene00001156","173300"
"WBGene00001240","178532"
"WBGene00001243","177320"
"WBGene00001389","184522"
"WBGene00001428","179113"
"WBGene00001430","171974"
"WBGene00001477","177958"
"WBGene00001564","178583"
"WBGene00001604","178452"
"WBGene00001633","176595"
"WBGene00001703","187934"
"WBGene00001714","178837"
"WBGene00001716","179569"
"WBGene00001724","190707"
"WBGene00001725","171649"
"WBGene00001753","187537"
"WBGene00001755","173842"
"WBGene00001772","185407"
"WBGene00001854","181073"
"WBGene00001898","181545"
"WBGene00002069","172817"
"WBGene00002275","175058"
"WBGene00002282","181554"
"WBGene00002827","178120"
"WBGene00002983","180825"
"WBGene00003057","179673"
"WBGene00003062","171886"
"WBGene00003071","172520"
"WBGene00003091","179429"
"WBGene00003093","178086"
"WBGene00003096","178772"
"WBGene00003119","174974"
"WBGene00003408","180408"
"WBGene00003412","180691"
"WBGene00003473","179060"
"WBGene00003474","179899"
"WBGene00003482","176430"
"WBGene00003485","181698"
"WBGene00003497","176060"
"WBGene00003553","181208"
"WBGene00003675","191732"
"WBGene00003762","179594"
"WBGene00003771","179545"
"WBGene00003795","175443"
"WBGene00003797","171954"
"WBGene00003798","172348"
"WBGene00003995","178215"
"WBGene00003997","181326"
"WBGene00003998","181327"
"WBGene00004002","181277"
"WBGene00004017","185024"
"WBGene00004025","178170"
"WBGene00004104","178954"
"WBGene00004120","174955"
"WBGene00004133","175970"
"WBGene00004174","174464"
"WBGene00004216","191746"
"WBGene00004217","171950"
"WBGene00004219","180876"
"WBGene00004221","173898"
"WBGene00004224","172229"
"WBGene00004227","191748"
"WBGene00004232","174940"
"WBGene00004259","174385"
"WBGene00004264","174319"
"WBGene00004296","179678"
