"WB_ID","ENTREZ_ID"
"WBGene00000606","173839"
"WBGene00000649","184366"
"WBGene00000665","176117"
"WBGene00000699","178029"
"WBGene00000753","181356"
"WBGene00000928","173793"
"WBGene00001066","178414"
"WBGene00001067","172197"
"WBGene00001068","181099"
"WBGene00001069","181013"
"WBGene00001070","180785"
"WBGene00001072","36805042"
"WBGene00001074","177187"
"WBGene00001430","171974"
"WBGene00001716","179569"
"WBGene00001725","171649"
"WBGene00001772","185407"
"WBGene00003408","180408"
"WBGene00003995","178215"
"WBGene00004002","181277"
"WBGene00004120","174955"
"WBGene00004174","174464"
"WBGene00004219","180876"
"WBGene00004398","174226"
"WBGene00005016","174731"
"WBGene00005017","173382"
"WBGene00005018","179693"
"WBGene00006366","181555"
"WBGene00006948","180597"
"WBGene00007479","182456"
"WBGene00007811","181463"
"WBGene00007938","181306"
"WBGene00008652","172635"
"WBGene00009221","3565680"
"WBGene00009823","173273"
"WBGene00009926","178365"
"WBGene00009983","179823"
"WBGene00010738","172452"
"WBGene00011530","174717"
"WBGene00011831","179551"
"WBGene00012032","174465"
"WBGene00012186","180352"
"WBGene00012261","181295"
"WBGene00013435","176588"
"WBGene00013901","191171"
"WBGene00014183","191492"
"WBGene00015339","178885"
"WBGene00015646","173445"
"WBGene00016422","172261"
"WBGene00017678","179210"
"WBGene00017937","175207"
"WBGene00018297","178856"
"WBGene00018572","173503"
"WBGene00019154","177358"
"WBGene00019272","180474"
"WBGene00021095","173448"
"WBGene00021625","178841"
"WBGene00022103","190583"
"WBGene00022679","177218"
"WBGene00022680","177219"
"WBGene00022816","176076"
"WBGene00022856","174155"
"WBGene00044109","259661"
"WBGene00044621","180525"
