"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042338","cuticle development involved in collagen and cuticulin-based cuticle molting cycle","14/202","28/9802",0.5,24.2623762376238,17.8801923582948,4.93990551866352e-17,1.10324556583485e-14,9.49848499728985e-15,"174107/180529/178414/172197/181013/180785/36805042/179040/177187/174397/174731/173382/179693/173445",14
"GO:0042273","ribosomal large subunit biogenesis","6/202","42/9802",0.142857142857143,6.93210749646393,5.58835531710064,0.00020094455471101,0.00464251212608195,0.00399700965450575,"171886/174598/180246/172226/186322/176863",6
"GO:0010171","body morphogenesis","7/202","72/9802",0.0972222222222222,4.71768426842684,4.59258914072466,0.000674699935627237,0.0132955575550073,0.0114469215084745,"171829/174107/172197/181013/36805042/179040/179673",7
"GO:0006730","one-carbon metabolic process","4/202","21/9802",0.19047619047619,9.24280999528524,5.48489817866372,0.000795726749960254,0.0152324834992392,0.0131145341046081,"181478/177958/174254/177355",4
"GO:0050829","defense response to Gram-negative bacterium","9/202","122/9802",0.0737704918032787,3.57969485473137,4.15897047185579,0.000918302326781705,0.0170906266373262,0.0147143179846893,"179971/177958/172817/179429/178772/178215/181326/184206/178682",9
"GO:0170039","proteinogenic amino acid metabolic process","8/202","109/9802",0.073394495412844,3.56144972295395,3.9007241688138,0.00181677974096721,0.0253592172176673,0.0218332302203954,"178452/174385/174326/174681/181417/177281/174254/174155",8
"GO:0170033","L-amino acid metabolic process","8/202","112/9802",0.0714285714285714,3.46605374823197,3.80736859685403,0.00215792163281537,0.0295062753874754,0.0254036746462475,"178452/174385/174326/174681/181417/177281/174254/174155",8
"GO:0010212","response to ionizing radiation","4/202","29/9802",0.137931034482759,6.69306930693069,4.45355462250068,0.00277643777245948,0.037204266150957,0.0320313241959535,"176330/178926/175058/183126",4
"GO:0010038","response to metal ion","6/202","69/9802",0.0869565217391304,4.21954369349978,3.89287778891305,0.0028990737131121,0.0380858703487276,0.0327903487055817,"179060/179899/178215/181326/181327/259654",6
"GO:0170034","L-amino acid biosynthetic process","5/202","52/9802",0.0961538461538462,4.66584158415842,3.84457484629476,0.00419042719601074,0.0519923374319851,0.0447632378833116,"178452/174681/181417/174254/174155",5
"GO:0170038","proteinogenic amino acid biosynthetic process","5/202","52/9802",0.0961538461538462,4.66584158415842,3.84457484629476,0.00419042719601074,0.0519923374319851,0.0447632378833116,"178452/174681/181417/174254/174155",5
"GO:1901605","alpha-amino acid metabolic process","8/202","126/9802",0.0634920634920635,3.08093666509508,3.41013418112566,0.00446675996221806,0.0544132577215655,0.0468475494602009,"178452/174385/174326/174681/181417/177281/174254/174155",8
"GO:0050830","defense response to Gram-positive bacterium","6/202","76/9802",0.0789473684210526,3.83090151120375,3.59368234947135,0.00469617616515794,0.0556859424402953,0.0479432780161537,"181545/179429/178086/178772/180928/187708",6
"GO:0016540","protein autoprocessing","3/202","17/9802",0.176470588235294,8.56319161327898,4.52714507428304,0.00473746077477139,0.0556859424402953,0.0479432780161537,"174319/174223/181664",3
"GO:0006997","nucleus organization","5/202","54/9802",0.0925925925925926,4.49303263659699,3.73350748094502,0.00493316270656053,0.0569865347137164,0.0490630338147943,"175058/181698/175443/171954/176864",5
"GO:0009887","animal organ morphogenesis","9/202","157/9802",0.0573248407643312,2.78167370877215,3.26439079387537,0.0051445821573691,0.0584215261938525,0.0502985017348486,"171829/178120/191746/171950/180876/174940/174319/174223/181664",9
"GO:0007155","cell adhesion","7/202","108/9802",0.0648148148148148,3.1451228456179,3.25153026693678,0.00686838908626431,0.0719034482468295,0.0619058753169875,"175143/183476/176430/181698/176060/175632/190583",7
"GO:0006081","cellular aldehyde metabolic process","3/202","23/9802",0.130434782608696,6.32931554024968,3.71161902900241,0.0112697219466834,0.106348080341942,0.0915612694852858,"175820/178583/180855",3
