"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042302","structural constituent of cuticle","31/224","171/9914",0.181286549707602,8.02354845446951,14.0855224629521,8.52775812435009e-20,2.12341177296317e-17,1.84020043735976e-17,"177559/181610/171873/184366/176117/259335/176721/176947/176988/177230/178029/179431/180960/181356/174107/180529/178414/172197/181013/180785/176846/36805042/177187/178120/179673/174397/174226/174731/173382/179693/179823",31
"GO:0042329","structural constituent of collagen and cuticulin-based cuticle","7/224","11/9914",0.636363636363636,28.1647727272727,13.7051471441565,8.36964176339027e-10,1.04202039954209e-07,9.03040295523687e-08,"174107/172197/181013/36805042/179673/174397/174731",7
"GO:0008194","UDP-glycosyltransferase activity","15/224","125/9914",0.12,5.31107142857143,7.37455356666295,1.28328614784049e-07,1.0651275027076e-05,9.23065474762455e-06,"173405/176595/3565050/178330/175591/187955/191171/180969/3564933/266913/172126/187129/178880/177139/178581",15
"GO:0015020","glucuronosyltransferase activity","12/224","83/9914",0.144578313253012,6.39888123924268,7.50945892495562,3.10486457982325e-07,1.93277820093997e-05,1.67499273385201e-05,"178330/175591/187955/191171/180969/3564933/266913/172126/187129/178880/177139/178581",12
"GO:0016758","hexosyltransferase activity","16/224","208/9914",0.0769230769230769,3.40453296703297,5.32852408961043,1.88162485514339e-05,0.000937049177861408,0.000812069674325042,"173405/176595/3565050/178330/175591/187955/191171/180969/3564933/266913/172126/187129/178880/177139/178581/180821",16
"GO:0016757","glycosyltransferase activity","18/224","313/9914",0.0575079872204473,2.5452418986764,4.22352513435182,0.00025676011645587,0.00913332414250165,0.00791516148472982,"173405/176595/180244/3565050/178330/175591/187955/191171/179191/180969/3564933/266913/172126/187129/178880/177139/178581/180821",18
"GO:0030515","snoRNA binding","4/224","16/9914",0.25,11.0647321428571,6.12566386004892,0.000372907915038693,0.0116067588555793,0.0100587003398595,"173812/172420/174038/178851",4
"GO:0140359","ABC-type transporter activity","6/224","51/9914",0.117647058823529,5.20693277310924,4.57942359276489,0.000958335002026122,0.0194862446556989,0.0168872549330724,"180408/180691/178215/181326/181327/181277",6
"GO:0008395","steroid hydroxylase activity","5/224","39/9914",0.128205128205128,5.67422161172161,4.44669891211515,0.00173313282212086,0.0229029617191989,0.0198482652819099,"179885/182177/179148/183622/187209",5
"GO:0005506","iron ion binding","9/224","122/9914",0.0737704918032787,3.26500292740047,3.82716912435203,0.0017476155528706,0.0229029617191989,0.0198482652819099,"178926/178170/179885/184473/24104108/182177/179148/183622/187209",9
