"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042302","structural constituent of cuticle","15/41","171/9914",0.087719298245614,21.2109542148053,17.1794175362216,8.23055928924013e-17,5.18525235222128e-15,4.24523584392386e-15,"184366/176117/178029/181356/178414/172197/181013/180785/36805042/177187/174226/174731/173382/179693/179823",15
"GO:0042329","structural constituent of collagen and cuticulin-based cuticle","4/41","11/9914",0.363636363636364,87.9290465631929,18.5886470900464,8.13542843188731e-08,2.5626599560445e-06,2.09808417453936e-06,"172197/181013/36805042/174731",4
"GO:0140678","molecular function inhibitor activity","5/41","124/9914",0.0403225806451613,9.75019669551534,6.31840158375266,0.000147532088777935,0.00103272462144554,0.000845505538025592,"182456/181306/172452/180352/175207",5
"GO:0030234","enzyme regulator activity","7/41","373/9914",0.0187667560321716,4.53789315373046,4.48819888764083,0.000749996213653847,0.00472497614601924,0.00386840152305668,"182456/181306/172452/180352/176588/175207/173448",7
"GO:0140359","ABC-type transporter activity","3/41","51/9914",0.0588235294117647,14.2238163558106,6.10108806559006,0.00119126549339063,0.00682270237123725,0.00558583819867377,"180408/178215/181277",3
"GO:0016504","peptidase activator activity","1/41","10/9914",0.1,24.1804878048781,4.72592873121476,0.0406125501036481,0.182756475466416,0.149625184592388,"176588",1
"GO:0022804","active transmembrane transporter activity","3/41","212/9914",0.0141509433962264,3.42176714219972,2.29688679405032,0.0567535784347022,0.223504878740959,0.182986450431195,"180408/178215/181277",3
"GO:0015645","fatty acid ligase activity","1/41","15/9914",0.0666666666666667,16.120325203252,3.77642628930953,0.0603108402951795,0.223504878740959,0.182986450431195,"3565680",1
"GO:0120515","fatty acid-CoA ligase activity","1/41","15/9914",0.0666666666666667,16.120325203252,3.77642628930953,0.0603108402951795,0.223504878740959,0.182986450431195,"3565680",1
"GO:0016866","intramolecular transferase activity","1/41","16/9914",0.0625,15.1128048780488,3.64057109500427,0.0642028754045739,0.224710063916009,0.183973151744101,"177358",1
"GO:0016887","ATP hydrolysis activity","3/41","237/9914",0.0126582278481013,3.0608212411238,2.06925511520003,0.0740522408043285,0.238908480887891,0.195597586691841,"180408/178215/181277",3
"GO:0016853","isomerase activity","2/41","111/9914",0.018018018018018,4.35684464952758,2.29183392674523,0.0768261791033111,0.238908480887891,0.195597586691841,"171974/177358",2
"GO:0140657","ATP-dependent activity","4/41","401/9914",0.00997506234413965,2.41201873365367,1.86004653467771,0.0826003792431336,0.238908480887891,0.195597586691841,"180408/178215/181277/3565680",4
"GO:0016878","acid-thiol ligase activity","1/41","21/9914",0.0476190476190476,11.5145180023229,3.10817114768094,0.0834283584052953,0.238908480887891,0.195597586691841,"3565680",1
