"logFC","logCPM","F","PValue","FDR","gene"
4.83087606715163,8.12998780876559,946.842686496242,4.94227269595369e-18,4.39417465397243e-14,"pgp-8"
3.44447696497739,8.92322274651256,863.306939564556,1.19540075441284e-17,5.31415405374227e-14,"gst-24"
4.46768120118684,6.96686413951391,693.868113655299,9.67449888456604e-17,2.75345325605573e-13,"mtl-2"
-6.41898393041371,7.56417401184684,680.560077321357,1.23875975978213e-16,2.75345325605573e-13,"mlt-11"
-7.58457935894582,5.79839064721092,452.670955846411,1.74316429030103e-16,3.09969474101329e-13,"sqt-2"
-4.21156022744662,6.82181519413263,583.505747809344,5.01247231718841e-16,7.42764856202036e-13,"sym-1"
-8.07445981111584,6.27370365051415,391.095681673464,8.42960559732244e-16,1.02495081640948e-12,"dpy-4"
-6.84449541476016,6.68122518831159,534.404845665,9.22236703551438e-16,1.02495081640948e-12,"F41F3.3"
-7.14115531620148,5.86308214869851,413.509559780991,1.67384622304653e-15,1.6535740854563e-12,"dpy-13"
-6.57548484952327,5.97238245193377,453.676177925106,2.62776616273989e-15,2.29023918521112e-12,"Y47D7A.13"
-7.81835670830976,6.02536149649581,349.313430728064,2.83349803591523e-15,2.29023918521112e-12,"sqt-3"
-7.00692587919559,6.10002708805096,419.845919546775,3.36134498294345e-15,2.49047652027918e-12,"lpr-3"
-8.23050370956316,5.65479903460767,297.428598554647,2.36319203834635e-14,1.61624157022595e-11,"col-17"
-7.22715289701956,6.31190481979604,334.310102028671,3.13675023265164e-14,1.99206045132184e-11,"ZK180.5"
-3.62352482244895,6.15803306440423,344.887634089143,6.96586172744063e-14,4.12889844124498e-11,"F44E2.4"
-3.93063805750353,7.52688015147564,338.512445533424,8.24905742084173e-14,4.58389809554399e-11,"noah-1"
-7.10719639913491,5.3393296529985,249.663189343975,9.84504807362554e-14,4.99153633831894e-11,"rol-6"
-7.69625430308084,5.90744828725108,248.691034504865,1.0253872825267e-13,4.99153633831894e-11,"col-90"
-2.8518803111889,6.34680680744138,329.258450758013,1.06668755402159e-13,4.99153633831894e-11,"C09F9.2"
3.00948848913212,6.73145491143066,326.136144677919,1.16444764923025e-13,5.17655202465308e-11,"zig-4"
-6.65702616936059,6.05153913163382,293.871077406701,1.68696763419341e-13,7.14229963600647e-11,"cut-2"
-7.60969702091048,5.058758005675,241.880046080548,1.98477105021199e-13,8.02118154883399e-11,"grl-16"
-10.7250409523274,6.23783773912522,377.622194626739,2.58340881083067e-13,9.9865598856937e-11,"dpy-5"
-6.41317075731146,5.16556705080523,246.263410092841,3.09904388374261e-13,1.14806663209815e-10,"wrt-10"
-7.60239800939382,5.81633558170838,220.318189708616,3.60551356237652e-13,1.23568339353542e-10,"col-41"
-6.44006286759438,5.84235928594386,271.115895611155,3.61351571610854e-13,1.23568339353542e-10,"dao-2"
1.38825036907431,9.45556489030815,268.562804913186,6.9453711010049e-13,2.28708497996424e-10,"irg-4"
-10.7923130068051,6.30272639482038,327.014038504033,8.62772848136977e-13,2.73961192599495e-10,"sqt-1"
-6.23861977586573,5.8887127265039,252.182981835,9.08513022156585e-13,2.7853756137911e-10,"rol-8"
2.58512367046013,5.94318493467178,256.123954862869,1.07223080744721e-12,3.17773470300438e-10,"cyp-33A1"
-4.35577530621665,6.79731503982152,249.782857942109,1.35140645414047e-12,3.77509919276295e-10,"noah-2"
-2.36302011605121,6.54504393674873,249.529152645838,1.35871301505359e-12,3.77509919276295e-10,"txdc-12.1"
-3.80961738359081,6.32421745044734,236.693588046035,2.20278094311897e-12,5.93482586826386e-10,"fbn-1"
-5.64834353588278,5.32456461248934,225.384701157243,2.55956342933389e-12,6.69325836770812e-10,"lpr-5"
1.74050049925937,8.26624720645538,224.762516172113,3.50333881807268e-12,8.89948155185264e-10,"mrp-2"
-5.80812576181103,5.47542527844367,216.920297343287,3.63532546051633e-12,8.97824407484741e-10,"qua-1"
-4.62154886602792,5.39211397324896,223.294173598187,3.94334945979187e-12,9.37296867484486e-10,"F33D4.6"
-4.85079788340679,5.49717733924041,222.826703118309,4.00599268523344e-12,9.37296867484486e-10,"cdh-12"
-7.18730092004389,4.65897173241887,177.31368363193,4.53333046764846e-12,1.03348310738109e-09,"lpr-4"
-7.18857802951381,4.65975067355846,176.37684662711,4.77794240182315e-12,1.06201714736524e-09,"K04H4.2"
-5.85591720532388,4.64072234250193,184.33713407175,5.26511043830558e-12,1.14175846114573e-09,"F30H5.3"
1.44626927908151,7.97544365713668,213.962937618895,5.4605868763789e-12,1.15595423614011e-09,"C29F7.2"
1.93507381509293,6.4713922697204,211.470050574579,6.06909618709987e-12,1.25489149301174e-09,"C48B6.2"
-6.36804031399001,5.12352468855915,180.439312305452,6.48037339679055e-12,1.30947726979238e-09,"glf-1"
1.62032498533417,7.94613798744852,205.133230343528,7.97283599461276e-12,1.57525521840227e-09,"Y66D12A.9"
-7.09329696057727,4.57091748494296,164.819092101206,9.3330460536993e-12,1.80391548833566e-09,"F53B1.4"
1.93095923769431,7.240300038705,200.768718391247,9.66712787575194e-12,1.81041081255643e-09,"ugt-16"
-4.16660764553811,5.4903128344083,201.321909320083,9.77389708724649e-12,1.81041081255643e-09,"ptr-4"
-6.88952786599823,4.37881376075556,161.510955500629,1.14039724205381e-11,2.0692391590001e-09,"dpy-7"
-4.69943966968256,4.97157563416003,195.842728760721,1.20188387383689e-11,2.0963280909453e-09,"dpy-2"
-5.34354679377372,5.41739194686479,194.731764682728,1.20248265254989e-11,2.0963280909453e-09,"H03E18.1"
-2.2488720712148,6.21381906430681,192.115181071063,1.43359014206395e-11,2.40726793634813e-09,"K10D3.4"
-4.1535836326475,4.96542493045366,193.267214045656,1.43499269628221e-11,2.40726793634813e-09,"clec-180"
-9.39217996213449,4.94684850842879,231.569613339382,1.50071027697117e-11,2.47089168010198e-09,"grl-7"
2.07631772637943,6.26924589389026,186.616062509379,1.85633577166343e-11,3.00085115379265e-09,"ugt-39"
-1.75905129925039,7.14948154878805,185.370668518919,1.96956085774879e-11,3.12702956897223e-09,"mua-3"
-5.87071421285325,4.18034290227765,142.311777178607,2.9793165395125e-11,4.57734846423523e-09,"ZK180.6"
-6.34015081956766,4.61338126148134,142.278958559819,2.98601069537333e-11,4.57734846423523e-09,"mlt-8"
-5.19018074086492,4.66058880742173,166.898269034168,3.21370933309986e-11,4.84289655603235e-09,"mlt-10"
-5.7048079613975,5.37829657379287,169.08675722272,3.47134079325285e-11,5.06337926759893e-09,"ZK1025.3"
1.79085427524042,6.85765197652146,173.872034907128,3.47391896663519e-11,5.06337926759893e-09,"cyp-35C1"
-2.49839471120563,5.82923343329981,173.453573751251,3.55256439309235e-11,5.09449193854582e-09,"T19B10.2"
-4.11232934089634,5.02498011809881,173.50124116788,3.72538358088467e-11,5.25752149486438e-09,"col-149"
-6.77066458713811,4.26957430354001,142.161774759131,3.95525926542294e-11,5.49472033263678e-09,"abu-14"
-4.63839267007749,4.76012606449936,167.335439359924,4.6285636882017e-11,6.32117891305463e-09,"col-14"
-8.8025549916645,4.39179402901563,201.345887897787,4.6923609072276e-11,6.32117891305463e-09,"dpy-8"
