gene_symbol,Aux_rep1_RNA,Aux_rep2_RNA,Aux_rep3_RNA,noAux_rep1_RNA,noAux_rep2_RNA,noAux_rep3_RNA
aap-1,12,7,6,12,1,12
aat-1,0,6,2,2,3,1
aat-2,16,13,12,8,5,5
aat-3,21,45,39,22,26,19
aat-5,36,43,50,32,33,29
aat-6,4,23,21,6,4,11
aat-9,12,4,5,3,8,14
abf-5,8,12,21,11,20,13
abf-6,7,7,12,11,12,5
abl-1,18,23,26,17,31,11
abt-2,69,119,93,65,77,93
abt-4,65,92,89,33,60,43
abu-8,3,1,1,9,16,5
ace-1,9,13,6,2,10,2
ace-2,22,27,24,25,15,23
ace-3,10,18,30,11,16,6
ace-4,3,0,5,4,1,1
acn-1,9,10,12,15,36,18
aco-1,315,538,458,318,344,363
aco-2,448,437,486,438,446,286
acr-8,9,8,17,1,0,6
acr-12,1,8,1,0,3,2
acr-19,4,6,13,5,9,3
lgc-11,5,3,1,1,3,4
acr-23,6,3,3,0,0,3
act-1,111,173,151,112,128,147
act-2,82,66,115,141,150,100
act-3,80,84,99,88,81,64
act-4,1820,2426,2407,1704,1954,1694
act-5,1053,1069,1356,855,1141,652
acy-1,42,48,72,40,22,31
acy-2,0,3,14,0,0,3
acy-3,13,14,29,29,29,19
acy-4,19,6,10,14,9,3
add-1,6,6,15,7,9,5
add-2,6,4,8,13,8,6
adm-2,31,37,40,28,31,32
adm-4,9,15,14,13,7,6
adr-1,59,89,65,58,62,62
adr-2,3,2,21,7,12,6
ads-1,95,68,71,83,102,61
adt-1,1,7,5,10,11,2
adt-2,40,66,81,80,70,62
aex-1,2,4,0,3,4,3
aex-3,29,30,31,18,26,18
aex-5,21,10,15,12,21,12
aex-6,4,10,7,11,8,1
age-1,21,49,19,13,14,17
ags-3,20,10,19,22,28,17
agt-1,3,0,2,2,2,2
agt-2,2,2,1,2,0,3
aha-1,6,3,24,12,10,8
aip-1,82,59,77,44,78,35
air-1,5,11,5,7,4,2
air-2,3,4,4,3,5,2
ajm-1,220,180,217,185,208,173
aka-1,39,50,53,44,40,30
akt-1,27,15,23,21,22,17
akt-2,36,24,20,36,37,17
alg-1,98,91,113,69,97,92
alg-2,43,78,54,33,60,57
alh-1,188,202,246,99,171,140
alh-3,35,38,51,52,53,26
alh-4,54,55,55,58,75,59
alh-5,16,18,24,14,16,2
alh-6,108,118,125,58,80,41
alh-7,35,50,38,31,29,32
alh-8,630,590,790,568,650,441
alh-9,57,43,66,84,106,34
alh-10,6,4,4,6,14,4
alh-11,10,14,10,15,9,5
alh-12,170,221,215,102,141,145
aly-1,28,16,21,11,20,8
aly-2,25,20,18,29,32,7
aly-3,20,37,25,26,27,23
ama-1,319,349,346,159,178,186
amt-1,7,4,3,0,1,0
amt-4,29,25,42,24,21,9
amx-1,10,7,8,10,14,8
amx-2,6,4,14,13,13,4
anc-1,414,332,385,277,297,363
aos-1,12,7,7,4,9,2
apc-2,10,2,3,2,7,5
ape-1,20,8,24,17,14,10
aph-1,8,6,7,0,8,6
aph-2,7,9,17,4,14,7
apl-1,272,334,393,353,395,220
apm-1,32,37,38,43,45,24
apn-1,4,9,4,2,11,9
app-1,27,22,19,15,18,20
1-Apr,16,17,23,10,18,7
aps-2,0,3,4,2,4,1
apg-1,93,117,122,77,101,95
aps-1,7,6,12,7,3,7
apb-1,76,105,118,70,97,75
apa-2,41,47,37,27,49,22
apd-3,12,13,30,18,6,15
apb-3,39,41,35,31,31,23
apm-3,4,4,2,10,3,4
aps-3,2,10,9,4,5,9
apt-9,3,2,5,6,6,3
aqp-1,13,31,39,19,33,16
aqp-2,160,160,215,139,144,120
aqp-4,5,21,7,7,6,9
aqp-7,330,440,470,356,373,224
aqp-8,21,30,21,22,21,15
aqp-9,5,14,11,9,10,3
aqp-10,15,26,23,13,16,14
aqp-11,26,32,35,18,16,11
arc-1,18,13,10,17,20,8
ard-1,58,100,108,78,77,56
arf-1.2,56,57,69,68,77,35
arf-3,65,78,69,66,90,45
arf-6,7,14,15,13,13,7
ark-1,63,45,70,39,53,41
arl-1,4,0,0,2,1,3
arl-3,8,0,0,1,4,5
arl-5,0,7,0,1,1,0
arl-8,13,16,20,19,20,10
arr-1,5,6,8,10,14,8
aars-1,10,12,9,16,15,3
aars-2,184,220,212,137,172,149
art-1,128,217,205,123,175,92
arx-1,11,27,43,21,31,9
arx-2,20,22,17,9,25,21
arx-3,35,44,36,41,36,22
exos-4.2,7,13,11,3,9,7
arx-5,12,15,9,8,19,13
arx-6,12,27,18,25,20,17
arx-7,9,17,19,13,13,18
asb-1,6,7,0,7,10,7
asb-2,230,179,281,210,250,122
trip-4,16,6,22,16,16,10
asg-1,4,2,10,12,8,2
asg-2,36,59,56,36,51,18
asm-1,5,10,4,8,8,3
asm-2,14,3,6,5,3,8
asm-3,0,3,1,0,1,5
asp-1,2071,1879,2692,2041,2276,1668
asp-2,316,286,374,255,296,207
asp-3,703,941,1026,814,935,649
asp-4,27,39,36,39,51,35
asp-5,338,366,398,390,459,310
asp-6,644,567,853,661,765,520
atf-5,21,18,24,38,30,23
atf-6,10,10,10,8,15,12
atf-7,201,119,158,177,215,117
atgp-1,68,61,68,60,47,28
atgp-2,43,36,42,38,27,19
atl-1,56,20,51,12,21,13
atm-1,39,57,52,57,45,19
atn-1,144,197,152,127,138,113
atp-2,1767,2503,2353,1847,1924,1829
atp-3,432,475,481,428,505,308
atx-2,129,159,164,133,145,97
avr-14,6,8,5,15,6,6
avr-15,20,7,12,11,6,3
baf-1,13,15,11,8,14,3
bag-1,8,21,11,17,32,17
bam-2,42,52,37,28,27,27
bar-1,10,8,10,11,8,6
bas-1,12,18,10,10,26,18
pah-1,43,58,43,31,29,31
bca-1,35,46,20,42,50,32
bcc-1,0,1,0,0,1,3
bec-1,46,26,36,28,44,16
ben-1,25,36,35,29,16,12
bir-1,3,3,0,4,1,3
bli-3,11,14,21,17,13,9
bli-4,45,40,40,49,39,39
bmk-1,6,14,21,28,37,12
bpl-1,25,33,21,10,15,16
bra-1,9,4,4,10,11,4
F23H11.5,214,325,265,179,243,201
brc-1,0,3,5,7,1,0
brd-1,2,4,1,1,4,4
bre-1,19,56,40,28,31,20
bre-3,65,99,78,51,38,69
bre-4,5,19,21,4,8,10
bre-5,5,4,8,2,4,6
brf-1,14,26,20,16,24,21
brp-1,179,185,163,177,184,89
btf-1,30,38,47,25,17,15
bub-1,20,22,23,13,23,19
byn-1,179,206,174,127,133,122
cab-1,182,107,133,125,140,83
cah-2,16,8,12,15,2,8
cah-3,55,53,46,29,48,24
cah-4,36,50,55,44,69,36
cah-5,32,43,47,26,44,21
cah-6,34,48,71,37,35,36
cal-1,3,0,5,3,3,0
cal-2,8,6,27,4,13,1
cal-3,1,1,0,0,0,0
cal-4,11,15,9,5,15,0
cam-1,24,25,38,41,22,6
cap-1,28,16,52,23,28,20
cap-2,71,51,66,89,74,70
cas-1,25,64,41,28,38,26
cat-1,3,6,5,7,3,7
cat-4,6,7,6,3,10,1
cav-1,4,8,7,1,2,4
cav-2,6,10,0,1,4,5
cbp-1,187,126,200,136,145,128
cca-1,50,60,58,42,21,27
ccb-1,14,25,18,9,12,11
ccf-1,18,34,29,24,40,27
ccg-1,69,57,65,67,90,50
cox-5B,68,78,88,79,66,58
cyp-14A5,6,3,12,2,3,0
cyp-44A1,6,9,10,11,9,8
ccr-4,21,26,27,25,10,25
cct-1,230,291,265,303,294,253
cct-2,137,119,142,168,176,89
cct-4,194,175,210,198,243,164
cct-5,306,369,435,319,348,306
cct-6,217,256,236,265,319,209
cdc-6,10,1,4,4,8,9
cdc-14,36,22,32,32,42,24
cdc-25.1,4,7,11,7,6,4
cdc-25.2,5,8,9,11,9,4
cdc-42,70,78,69,49,62,57
cdd-1,21,21,21,15,23,7
cdd-2,0,0,0,3,0,1
cdf-1,25,15,29,19,17,7
cdh-3,9,6,3,4,16,1
cdh-4,151,96,159,112,114,121
cdh-7,1,0,0,10,14,3
cdh-10,2,4,0,10,14,9
casy-1,204,234,245,212,214,148
cdk-1,21,36,27,18,16,17
cdk-4,4,3,8,1,1,1
cdk-5,1,18,3,11,5,10
cdk-7,9,5,8,1,3,2
cdk-8,5,6,14,4,4,9
cdk-9,15,24,24,18,13,8
cdl-1,32,79,70,45,83,37
cdr-1,8,5,9,2,3,7
cdt-1,16,10,8,9,9,7
cec-1,27,14,25,31,19,14
ced-1,36,38,32,33,24,28
ced-2,4,0,1,3,4,0
ced-3,4,4,8,0,9,8
ced-4,1,3,6,3,8,4
ced-5,35,52,33,27,33,35
ced-6,12,29,12,19,10,12
ced-7,60,55,72,48,44,34
ced-9,9,4,17,22,7,12
ced-10,24,25,17,10,12,9
ced-11,0,4,7,9,8,5
ced-12,10,0,2,9,5,3
ceh-13,6,0,2,3,2,5
ceh-16,3,5,3,3,8,4
ceh-18,17,12,27,14,16,11
ceh-20,7,17,26,13,16,4
ceh-23,10,4,11,7,7,11
pros-1,32,23,18,11,22,12
ceh-27,4,9,7,2,11,10
ceh-32,19,21,15,11,17,15
ceh-34,3,1,3,3,6,1
ceh-37,2,4,13,2,8,6
ceh-38,71,78,66,68,73,44
ceh-39,1,0,5,4,1,5
ceh-43,7,2,3,3,7,0
ceh-44,8,18,35,29,37,25
cel-1,10,15,15,13,8,15
cey-1,113,159,122,89,82,92
cey-4,288,252,302,243,300,160
cfi-1,43,84,59,30,36,59
cft-1,20,25,18,20,23,18
cfz-2,15,24,24,12,22,20
cgh-1,92,116,129,90,110,75
cgp-1,42,17,24,34,16,19
cha-1,11,22,10,12,8,4
chd-3,107,85,116,66,103,66
che-3,17,11,13,17,7,12
che-11,3,0,10,7,4,1
che-12,10,6,8,3,5,3
chs-2,2,1,2,4,8,4
chk-1,3,4,1,4,3,8
chn-1,7,5,1,7,5,4
cho-1,12,10,10,5,19,4
chp-1,22,11,17,30,30,7
cic-1,5,20,12,4,12,5
cit-1.1,7,3,4,2,8,1
cit-1.2,40,53,45,39,46,33
cka-1,12,9,13,10,26,8
cka-2,9,5,9,7,7,2
ckb-1,9,7,3,4,4,2
ckb-2,0,3,2,11,7,16
ckb-4,8,3,11,2,3,7
ckc-1,12,18,11,11,15,11
cki-1,1,4,1,4,4,2
ckk-1,9,6,17,13,13,10
cku-70,18,17,10,17,12,10
cku-80,9,10,13,10,7,8
clc-1,3,17,10,5,22,6
clc-2,2,5,6,0,0,3
clc-5,5,11,2,3,8,3
cle-1,11,12,17,25,14,14
clh-1,44,63,52,53,31,36
clh-2,5,6,17,10,9,7
clh-3,12,11,5,7,12,5
clh-4,6,4,5,0,3,4
clh-5,39,33,12,17,35,14
clh-6,5,8,6,7,6,0
cpi-2,13,20,23,25,23,10
cpi-1,1,0,0,3,0,0
clk-1,4,5,6,5,1,5
clk-2,10,5,5,1,8,6
cln-3.1,5,0,1,3,0,0
cln-3.2,5,6,5,8,10,0
cln-3.3,4,5,1,8,10,2
clp-1,78,73,70,95,97,54
clp-2,7,4,19,1,13,2
clp-4,43,45,39,42,35,35
clp-7,14,10,12,8,9,6
clr-1,47,55,64,48,42,46
cls-2,89,148,125,64,92,97
clu-1,267,242,301,197,194,189
cmd-1,160,131,174,133,153,78
cmk-1,18,25,35,18,14,18
cnb-1,14,11,14,15,14,9
cnc-3,0,0,2,3,1,0
cnc-4,4,3,1,0,0,5
cnk-1,23,15,39,15,28,30
cnt-1,25,29,28,19,24,27
cnt-2,57,34,44,33,36,62
cnx-1,78,86,88,80,109,60
cof-2,1,2,1,10,2,5
cogc-2,7,10,10,7,4,4
coh-1,18,9,24,5,10,9
col-10,435,638,673,558,688,587
col-14,0,1,3,11,11,7
col-17,0,0,0,108,96,64
col-34,5,1,3,4,8,3
col-39,58,68,51,92,93,80
col-41,6,0,0,66,68,35
col-48,4,4,3,15,20,8
